citing_publisher,cited_name,cited_name
CCC,Ashley Dolce,1
CCC,Ashley Holmes,1
CCC,Ashley L. Till,1
CCC,Ashley Reed,1
CCC,Ask Rita HR. Blue Avocado,1
CCC,Associated Colleges South,1
CCC,Association American Colleges,1
CCC,Athena Athanasiou,1
CCC,Athena D. Mutua,1
CCC,Audra Eagle Yun,1
CCC,Audre Lorde,1
CCC,Audrey J. Jaeger,1
CCC,Audrey Thompson,1
CCC,Augie Fleras,1
CCC,Avis Vidal,1
CCC,Aya Matsuda,1
CCC,Ayana D. Byrd,1
CCC,Ayo Bamgbose,1
CCC,B. Diane Lipsett,1
CCC,B. Larsen,1
CCC,B.F. Skinner,1
CCC,Bad Religion,1
CCC,Bagele Chilisa,1
CCC,Baotong Gu,1
CCC,Barbara A. Lee,1
CCC,Barbara Beeching,1
CCC,Barbara Bird,1
CCC,Barbara Dahl,1
CCC,Barbara Ehrenreich,1
CCC,Barbara Garson,1
CCC,Barbara Gordon,1
CCC,Barbara J. Walker,1
CCC,Barbara Kaye,1
CCC,Barbara L. Liu,1
CCC,Barbara Lovitts,1
CCC,Barbara L’Eplattenier,1
CCC,Barbara Miller Solomon,1
CCC,Barbara Mirel,1
CCC,Barbara Misztal,1
CCC,Barbara Roswell,1
CCC,Barbara S. Plakans,1
CCC,Barry M. Maid,1
CCC,Barry Thatcher,1
CCC,Bart D. Ehrman,1
CCC,Baxter Magolda,1
CCC,Ben Kuebrich,1
CCC,Bena Kallick Preface,1
CCC,Benita J. Barnes,1
CCC,Benjamin A. Botkin,1
CCC,Benjamin Kuebrich,1
CCC,Berardi ,1
CCC,Bernadette N. Jaworsky,1
CCC,Bernard Dauenhauer,1
CCC,Beth Brunk-Chavez,1
CCC,Beth Daniel,1
CCC,Beth Matway,1
CCC,Beth Nowviskie,1
CCC,Beth Powell,1
CCC,Betsy Cooper,1
CCC,Betty S. Anderson,1
CCC,Beverly A. Lewin,1
CCC,Beverly Derewianka,1
CCC,Beverly Sauer,1
CCC,Bill Reader,1
CCC,Birgette Yttri,1
CCC,Birgit Brander Rasmussen,1
CCC,Bo Wang,1
CCC,Bob Darrell,1
CCC,"Bob, et al Broad",1
CCC,Boba M. Samuels,1
CCC,Bonnie J. Williams,1
CCC,Bonnie Stone Sunstein,1
CCC,Boys ,1
CCC,Bracero History Archive nan,1
CCC,Brad H. Young,1
CCC,Brad Lucas,1
CCC,Brad Peters,1
CCC,Bradford C. Mank,1
CCC,Bradley Dilger,1
CCC,Bradley Smith,1
CCC,Brent Bridgeman,1
CCC,Brett M. Griffiths,1
CCC,Brett Neilson,1
CCC,Brian D. Voss,1
CCC,Brian Gogan,1
CCC,Brian Huot,1
