citing_publisher,citing_year,citing_name,citing_name
Composition Studies,1/1/2013,Pisarn Bee Chamcharatsri,1
Composition Studies,1/1/2013,Sean R. Maddox,1
Composition Studies,1/1/2013,Ted Kesler,1
Composition Studies,1/1/2014,Isabelle Thompson,66
Composition Studies,1/1/2014,Chris W. Gallagher,44
Composition Studies,1/1/2014,Marsha Lee Baker,32
Composition Studies,1/1/2014,Ella R. Browning,24
Composition Studies,1/1/2014,Aja Y. Martinez,22
Composition Studies,1/1/2014,Tyler Carter,22
Composition Studies,1/1/2014,Russel K. Durst,18
Composition Studies,1/1/2014,Carl Whithaus,16
Composition Studies,1/1/2014,Matthew A. Vetter,16
Composition Studies,1/1/2014,Tabetha Adkins,14
Composition Studies,1/1/2014,Douglas Eyman,11
Composition Studies,1/1/2014,Justin Hodgson,9
Composition Studies,1/1/2014,Cynthia L. Selfe,8
Composition Studies,1/1/2014,Jacquelyn E. Hoermann,8
Composition Studies,1/1/2014,Melanie Yergeau,8
Composition Studies,1/1/2014,Shakil Rabbi,7
Composition Studies,1/1/2014,David Blakesley,6
Composition Studies,1/1/2014,Kristine L. Blair,5
Composition Studies,1/1/2014,Virginia Crisco,4
Composition Studies,1/1/2014,Wendy Fall,4
Composition Studies,1/1/2014,Jeffrey G. Howard,3
Composition Studies,1/1/2014,Jennifer Habel,3
Composition Studies,1/1/2014,Kevin Brock,3
Composition Studies,1/1/2014,Lynée Lewis Gaillet,3
Composition Studies,1/1/2014,Paula Mathieu,3
Composition Studies,1/1/2014,Cynthia Lewiecki-Wilson,2
Composition Studies,1/1/2014,Kevin C. Moore,1
Composition Studies,1/1/2014,Kristina Fennelly,1
Composition Studies,1/1/2014,Tara Wood,1
Composition Studies,1/1/2015,Molly J. Scanlon,59
Composition Studies,1/1/2015,Kara Poe Alexander,54
Composition Studies,1/1/2015,Kathryn Comer,45
Composition Studies,1/1/2015,Jonathan Hunt,44
Composition Studies,1/1/2015,T. J. Geiger II,39
Composition Studies,1/1/2015,Liesl Schwabe,31
Composition Studies,1/1/2015,Maggie M. Werner,31
Composition Studies,1/1/2015,Carl Whithaus,25
Composition Studies,1/1/2015,Gabriel Sealey-Morris,22
Composition Studies,1/1/2015,Aaron Kashtan,20
Composition Studies,1/1/2015,Erin Kathleen Bahl,20
Composition Studies,1/1/2015,Leah Misemer,18
Composition Studies,1/1/2015,Lori Ostergaard,12
Composition Studies,1/1/2015,Shannon Walters,11
Composition Studies,1/1/2015,Kirsti Cole,9
Composition Studies,1/1/2015,Janine Morris,8
Composition Studies,1/1/2015,Michelle Smith,8
Composition Studies,1/1/2015,Collie Fulford,7
Composition Studies,1/1/2015,Michelle Dierlof,7
Composition Studies,1/1/2015,Rachel Griffo,7
Composition Studies,1/1/2015,Susan Kirtley,7
Composition Studies,1/1/2015,Christie Toth,5
Composition Studies,1/1/2015,Glen McClish,5
Composition Studies,1/1/2015,Beth L. Hewett,4
Composition Studies,1/1/2015,Wendy McCloud,4
Composition Studies,1/1/2015,Jason Luther,3
Composition Studies,1/1/2015,Michael J. Michaud,3
Composition Studies,1/1/2015,Tammie M. Kennedy,3
Composition Studies,1/1/2015,Cara Messina,2
Composition Studies,1/1/2015,Franny Howes,2
Composition Studies,1/1/2015,Kara Alexander,2
Composition Studies,1/1/2015,Aaron Clark,1
Composition Studies,1/1/2015,Cami Sylvia,1
Composition Studies,1/1/2015,Edward Jacobs,1
Composition Studies,1/1/2015,Jenny Krichevsky,1
Composition Studies,1/1/2015,Peter Brooks,1
Composition Studies,1/1/2016,Laura Tetreault,49
Composition Studies,1/1/2016,Alexandria Lockett,39
Composition Studies,1/1/2016,Cynthia L. Selfe,38
Composition Studies,1/1/2016,Rebekka Andersen,36
Composition Studies,1/1/2016,Michelle Cox,32
Composition Studies,1/1/2016,Bethany Davila,23
Composition Studies,1/1/2016,Tatiana Glushko,21
Composition Studies,1/1/2016,Julia Kiernan,20
Composition Studies,1/1/2016,Ghanashyam Sharma,17
Composition Studies,1/1/2016,Rob McAlear,17
Composition Studies,1/1/2016,Emily Cooney,16
Composition Studies,1/1/2016,Casie J. Fedukovich,13
Composition Studies,1/1/2016,Cathryn Molloy,13
Composition Studies,1/1/2016,James Rushing Daniel,13
Composition Studies,1/1/2016,Rebecca Lorimer Leonard,13
Composition Studies,1/1/2016,Tom Pace,13
Composition Studies,1/1/2016,Ben Harley,11
Composition Studies,1/1/2016,Christiane Donahue,11
Composition Studies,1/1/2016,Kelly Masterson,11
Composition Studies,1/1/2016,Bo Wang,10
Composition Studies,1/1/2016,"David F. Green, Jr.",10
Composition Studies,1/1/2016,Liane Malinowski,9
Composition Studies,1/1/2016,Morris Young,9
Composition Studies,1/1/2016,Lisa R. Arnold,8
Composition Studies,1/1/2016,Amy Zenger,7
Composition Studies,1/1/2016,Rubén Casas,7
Composition Studies,1/1/2016,Shawanda Stewart,7
Composition Studies,1/1/2016,Brian James Stone,6
Composition Studies,1/1/2016,Kate Vieira,6
Composition Studies,1/1/2016,Robert E. Randolph,6
Composition Studies,1/1/2016,Joel Heng Hartse,4
Composition Studies,1/1/2016,Hope Jackson,3
Composition Studies,1/1/2016,Jay Jordan,3
Composition Studies,1/1/2016,Kat Williams,3
Composition Studies,1/1/2016,Chris Thaiss,1
Composition Studies,1/1/2016,Darin Jensen,1
Composition Studies,1/1/2016,Rebecca Dingo,1
Composition Studies,1/1/2016,Shirley K. Rose,1
Composition Studies,1/1/2016,Suresh Canagarajah,1
Composition Studies,1/1/2017,Cydney Alexis,53
Composition Studies,1/1/2017,Carol Severino,50
Composition Studies,1/1/2017,Sara Newman,49
Composition Studies,1/1/2017,Hannah J. Rule,47
Composition Studies,1/1/2017,Jeff Rice,42
Composition Studies,1/1/2017,Michelle Tremmel,42
Composition Studies,1/1/2017,Carrie Byars Kilfoil,38
Composition Studies,1/1/2017,Faith M. Kurtyka,33
Composition Studies,1/1/2017,Kristine Johnson,33
Composition Studies,1/1/2017,Janine Butler,31
Composition Studies,1/1/2017,Kendall Leon,25
Composition Studies,1/1/2017,Bethany Davila,23
Composition Studies,1/1/2017,Steven Alvarez,22
Composition Studies,1/1/2017,Cruz Medina,19
Composition Studies,1/1/2017,Erin Penner Gallegos,18
Composition Studies,1/1/2017,Christine Martorana,16
Composition Studies,1/1/2017,Iris Ruiz,16
Composition Studies,1/1/2017,Steven Accardi,16
Composition Studies,1/1/2017,Michelle LyonsMcFarland,13
Composition Studies,1/1/2017,Rick Fisher,12
Composition Studies,1/1/2017,Jennifer Mallette,11
Composition Studies,1/1/2017,Everardo J. Cuevas,10
Composition Studies,1/1/2017,Robert Terry,9
Composition Studies,1/1/2017,Tristan Abbott,8
Composition Studies,1/1/2017,E. Domínguez Barajas,7
Composition Studies,1/1/2017,J. Paul Padilla,7
Composition Studies,1/1/2017,Timothy Ballingall,7
Composition Studies,1/1/2017,Chen Chen,6
Composition Studies,1/1/2017,Lisha Daniels Storey,5
Composition Studies,1/1/2017,Samantha NeCamp,5
Composition Studies,1/1/2017,Annie Osburn,4
Composition Studies,1/1/2017,Bethany Mannon,4
Composition Studies,1/1/2017,Jialei Jiang,4
Composition Studies,1/1/2017,Nolan P. Goetzinger,4
Composition Studies,1/1/2017,Maggie Collins,3
Composition Studies,1/1/2017,Christine Garcia,1
Composition Studies,1/1/2017,Laurie A. Pinkert,1
Composition Studies,1/1/2017,Mark Christopher Lane,1
Composition Studies,1/1/2017,Nicole Gonzales Howell,1
Composition Studies,1/1/2018,Ann M. Penrose,60
Composition Studies,1/1/2018,Courtney Adams Wooten,51
Composition Studies,1/1/2018,Julia Voss,51
Composition Studies,1/1/2018,Peter Wayne Moe,41
Composition Studies,1/1/2018,Alexis Teagarden,34
Composition Studies,1/1/2018,Ryan McCarty,33
Composition Studies,1/1/2018,Adrian M. Zytkoskee,31
Composition Studies,1/1/2018,Kristen di Gennaro,30
Composition Studies,1/1/2018,Edward Hahn,29
Composition Studies,1/1/2018,Amy J. Lueck,26
